Periodo,Sesso,0 anni,1 anni,2 anni,3 anni,4 anni,5 anni,6 anni,7 anni,8 anni,9 anni,10 anni,11 anni,12 anni,13 anni,14 anni,15 anni,16 anni,17 anni,18 anni,19 anni,20 anni,21 anni,22 anni,23 anni,24 anni,25 anni,26 anni,27 anni,28 anni,29 anni,30 anni,31 anni,32 anni,33 anni,34 anni,35 anni,36 anni,37 anni,38 anni,39 anni,40 anni,41 anni,42 anni,43 anni,44 anni,45 anni,46 anni,47 anni,48 anni,49 anni,50 anni,51 anni,52 anni,53 anni,54 anni,55 anni,56 anni,57 anni,58 anni,59 anni,60 anni,61 anni,62 anni,63 anni,64 anni,65 anni,66 anni,67 anni,68 anni,69 anni,70 anni,71 anni,72 anni,73 anni,74 anni,75 anni,76 anni,77 anni,78 anni,79 anni,80 anni,81 anni,82 anni,83 anni,84 anni,85 anni,86 anni,87 anni,88 anni,89 anni,90 anni,91 anni,92 anni,93 anni,94 anni,95 anni,96 anni,97 anni,98 anni,99 anni,100 anni e più
2019,maschi,221685,234386,241671,248155,256257,260616,272398,276672,285251,289719,292417,292452,293239,291565,293836,292016,290476,295127,306068,307554,313559,310367,310066,308282,310034,314552,327377,325160,331737,328580,336140,328519,329625,338601,344688,350654,361816,363353,373968,383565,404602,416373,434347,453871,472267,468310,473273,475915,471964,483524,479538,479659,485399,483386,488422,455137,437987,427661,413040,401980,381659,376891,367913,359220,351583,335079,327125,324044,333553,333082,343511,332677,327411,248503,250729,246473,239355,234110,250102,238254,220747,194208,170547,163189,145398,128393,110640,97788,86747,67202,53941,42805,32334,24059,17734,13009,8761,5941,3829,1616,2175
2019,femmine,209322,221360,229142,234791,241983,246502,257211,261137,268440,273327,276854,275360,275337,273470,277332,274845,273141,275663,280805,277981,278559,279760,281529,282222,287929,295813,309013,309439,315976,317952,325542,320439,322805,333935,340206,346311,359005,362537,370021,383503,403489,417606,436238,457197,476041,474216,478371,484958,480428,494321,491414,494767,497603,496845,503941,475227,460125,451673,437639,426948,409121,404686,396279,388661,383041,363608,358334,356386,368268,369230,384579,373966,373031,286936,294077,296099,292150,291653,317534,307068,293682,265955,244166,240485,224338,206790,189589,175587,167490,137574,119934,102465,84147,68264,53762,41874,31075,22901,15821,7369,11957
2019,totale,431007,455746,470813,482946,498240,507118,529609,537809,553691,563046,569271,567812,568576,565035,571168,566861,563617,570790,586873,585535,592118,590127,591595,590504,597963,610365,636390,634599,647713,646532,661682,648958,652430,672536,684894,696965,720821,725890,743989,767068,808091,833979,870585,911068,948308,942526,951644,960873,952392,977845,970952,974426,983002,980231,992363,930364,898112,879334,850679,828928,790780,781577,764192,747881,734624,698687,685459,680430,701821,702312,728090,706643,700442,535439,544806,542572,531505,525763,567636,545322,514429,460163,414713,403674,369736,335183,300229,273375,254237,204776,173875,145270,116481,92323,71496,54883,39836,28842,19650,8985,14132
2020,maschi,212756,224617,235153,242107,248565,256796,260833,272305,276769,285537,289596,292556,292641,293544,292112,294506,292771,291807,298000,308381,308189,313182,309970,309688,307991,309378,313758,326635,324590,331083,328034,335493,327947,329109,338166,344557,350372,361476,363000,373576,383170,403881,415526,433364,453257,471358,467247,472445,474990,470760,482299,478051,478289,483736,481769,486783,453415,436116,425668,411026,399772,379385,374272,365197,356296,348378,331878,323404,320057,329023,328058,337758,326516,320411,242563,244277,239378,231750,225808,240020,227517,209720,183104,159380,151066,132945,115967,98570,85751,74576,56540,44385,34603,25393,18209,13171,9083,6167,3298,2529,2332
2020,femmine,202218,212168,222161,229589,235204,242348,246458,257168,261133,268609,273168,276781,275384,275519,273759,277704,275235,273582,276707,282363,279269,279835,281029,283094,283641,289242,296568,310107,310423,316710,318718,326158,321148,323293,334375,340457,346606,359300,362693,370154,383701,403611,417680,436100,457174,475833,474137,477972,484718,480305,494026,490930,494239,497079,496286,503388,474410,459353,450711,436621,425767,407946,403219,394534,386962,381206,361610,356098,353899,365461,366082,381061,370061,368668,283182,289606,291246,286596,285508,309824,298567,284151,255966,233554,228511,211312,192830,174836,159752,150085,121480,103848,86770,69890,55782,42478,32136,23179,16553,10892,12472
2020,totale,414974,436785,457314,471696,483769,499144,507291,529473,537902,554146,562764,569337,568025,569063,565871,572210,568006,565389,574707,590744,587458,593017,590999,592782,591632,598620,610326,636742,635013,647793,646752,661651,649095,652402,672541,685014,696978,720776,725693,743730,766871,807492,833206,869464,910431,947191,941384,950417,959708,951065,976325,968981,972528,980815,978055,990171,927825,895469,876379,847647,825539,787331,777491,759731,743258,729584,693488,679502,673956,694484,694140,718819,696577,689079,525745,533883,530624,518346,511316,549844,526084,493871,439070,392934,379577,344257,308797,273406,245503,224661,178020,148233,121373,95283,73451,55649,41447,29302,20560,13421,14804
2021,maschi,208412,216969,228106,238741,246617,253592,257712,262489,273619,278649,287198,291582,294561,294772,295760,294449,296085,294149,292774,299358,309949,308471,313052,309342,308686,306234,306729,310129,323025,320148,327009,323860,331960,324988,326070,335245,342289,348579,359901,361515,372215,381514,402265,413967,431541,451779,469477,465176,470361,472664,468171,479429,474659,475015,479767,477592,482300,449183,431452,420581,405934,394296,373824,368091,359064,350200,342178,325411,319361,315798,324134,322436,331255,319265,312420,235648,236450,230615,222215,215706,227503,214560,195982,169321,145752,136315,118356,101657,84718,72167,61359,45462,34525,26278,18570,12913,9066,14207,3998,2526,2847
2021,femmine,196544,206300,215465,225498,233858,239726,243319,247948,258440,262846,269994,274675,278502,277231,277420,275666,278695,275524,273389,276924,282960,279574,280705,281499,283102,282947,287493,294211,307046,307805,314003,315916,323709,318664,320941,332033,338839,345105,357984,361207,369016,382644,402520,417187,435229,456347,474641,473075,476715,483171,478407,491553,487952,490893,493808,492768,499325,470176,454417,445450,430828,419315,400873,396301,387503,379960,373354,354570,348843,346511,357328,357140,371104,359551,356948,272894,278056,278075,271851,269090,289391,276268,259546,230238,206074,197860,178743,158660,139930,123386,111473,86552,70213,55782,42582,32136,22975,16411,11109,16427,14330
2021,totale,404956,423269,443571,464239,480475,493318,501031,510437,532059,541495,557192,566257,573063,572003,573180,570115,574780,569673,566163,576282,592909,588045,593757,590841,591788,589181,594222,604340,630071,627765,640573,639502,655408,643652,647011,667278,681128,693606,718130,723110,741417,764338,804929,831055,866831,908080,944130,938013,946747,955531,946253,970580,962254,965612,972976,969939,981264,919463,886357,866942,838134,815350,776787,766661,749164,732932,719124,682607,672631,667039,686526,684969,708347,685037,676292,514408,521003,515948,502187,493664,527760,502658,468561,413022,365962,349855,313617,277429,241985,213216,191492,148486,120185,96282,73213,54860,40293,29016,20113,13635,17177
2022,maschi,205371,209824,217987,228694,239183,245640,252296,260055,263845,275299,280091,288645,292919,295957,296180,297220,295963,299478,295158,294218,299483,307995,306585,310871,307450,307226,304818,306056,309781,322737,320462,327385,324501,333154,325923,327214,336526,343183,349548,361018,362241,372928,382441,403045,414855,432706,452800,470567,466435,471355,473646,469300,480540,475775,476000,481069,478662,483300,449809,431801,420605,405827,393855,373144,367086,357674,348305,339780,323307,314146,309999,317704,315416,323313,310853,303291,227616,227767,221025,211994,204923,214994,201163,182174,156136,132632,122383,104653,88175,72142,60361,50024,36098,26727,19723,13473,9083,6196,4117,2571,3287
